signal,n,tp_rate,sl_rate,win_rate,expected_value,avg_return,median_return,range,col
rsi14,534,9.93,17.98,45.32,0.009,0.009,-0.047,"[0, 15)",rsi14
rsi14,1257,7.56,16.15,46.06,-0.003,-0.003,-0.05,"[15, 20)",rsi14
rsi14,2641,7.76,15.68,45.36,0.0037,0.0037,-0.023,"[20, 25)",rsi14
rsi14,5271,6.85,16.39,46.1,-0.0196,-0.0196,-0.052,"[25, 30)",rsi14
rsi14,9668,7.06,16.68,44.86,-0.0393,-0.0393,-0.0745,"[30, 35)",rsi14
rsi14,14709,6.93,15.29,44.92,-0.0255,-0.0255,-0.071,"[35, 40)",rsi14
rsi14,38261,6.83,15.35,45.01,-0.0275,-0.0275,-0.064,"[40, 50)",rsi14
rsi14,62496,6.66,17.01,42.7,-0.1022,-0.1022,-0.141,"[50, 60)",rsi14
rsi14,112634,7.49,19.88,44.41,-0.0826,-0.0826,-0.1175,"[60, 100)",rsi14
rsi5,429,10.02,16.32,47.79,0.0541,0.0541,0.0,"[0, 10)",rsi5
rsi5,873,7.22,19.36,45.02,-0.0927,-0.0927,-0.094,"[10, 15)",rsi5
rsi5,1599,6.38,18.39,43.28,-0.1178,-0.1178,-0.145,"[15, 20)",rsi5
rsi5,2726,6.75,15.55,44.17,-0.0614,-0.0614,-0.115,"[20, 25)",rsi5
rsi5,4592,6.18,16.31,43.47,-0.0907,-0.0907,-0.1065,"[25, 30)",rsi5
rsi5,12258,7.15,16.14,45.31,-0.0297,-0.0297,-0.0715,"[30, 40)",rsi5
rsi5,19851,6.83,15.87,44.6,-0.0506,-0.0506,-0.096,"[40, 50)",rsi5
rsi5,205143,7.18,18.28,44.08,-0.075,-0.075,-0.114,"[50, 100)",rsi5
vol_ratio,100808,6.21,14.99,44.5,-0.0449,-0.0449,-0.071,"[0, 0.8)",vol_ratio
vol_ratio,46260,5.76,14.7,45.55,-0.0481,-0.0481,-0.075,"[0.8, 1.0)",vol_ratio
vol_ratio,34832,5.98,16.74,43.9,-0.0909,-0.0909,-0.125,"[1.0, 1.2)",vol_ratio
vol_ratio,11100,7.08,17.91,44.69,-0.073,-0.073,-0.1065,"[1.2, 1.3)",vol_ratio
vol_ratio,16925,7.75,20.22,44.09,-0.0821,-0.0821,-0.125,"[1.3, 1.5)",vol_ratio
vol_ratio,19404,9.64,23.74,43.44,-0.0959,-0.0959,-0.157,"[1.5, 2.0)",vol_ratio
vol_ratio,10792,13.06,30.25,42.49,-0.1135,-0.1135,-0.2255,"[2.0, 3.0)",vol_ratio
vol_ratio,7350,16.93,45.06,36.33,-0.3244,-0.3244,-0.9655,"[3.0, 99)",vol_ratio
w52_pos,5924,7.33,15.94,44.06,-0.0371,-0.0371,-0.0915,"[0, 10)",w52_pos
w52_pos,13209,7.51,15.83,44.37,-0.0341,-0.0341,-0.081,"[10, 20)",w52_pos
w52_pos,18275,7.37,16.67,44.65,-0.042,-0.042,-0.051,"[20, 30)",w52_pos
w52_pos,20496,7.13,16.74,44.05,-0.0591,-0.0591,-0.088,"[30, 40)",w52_pos
w52_pos,18436,7.04,17.05,44.84,-0.0505,-0.0505,-0.068,"[40, 50)",w52_pos
w52_pos,88163,6.95,18.74,42.6,-0.1135,-0.1135,-0.158,"[50, 70)",w52_pos
w52_pos,81109,7.19,17.97,45.84,-0.0412,-0.0412,-0.07,"[70, 100)",w52_pos
dvs,0,0.0,0.0,0.0,0.0,0.0,0.0,"[-100, -20)",dvs
dvs,0,0.0,0.0,0.0,0.0,0.0,0.0,"[-20, -10)",dvs
dvs,17191,7.58,17.12,44.01,-0.0494,-0.0494,-0.083,"[-10, 0)",dvs
dvs,17211,7.2,17.0,44.75,-0.0456,-0.0456,-0.07,"[0, 10)",dvs
dvs,35618,6.13,15.61,44.76,-0.0562,-0.0562,-0.0855,"[10, 20)",dvs
dvs,36680,6.19,16.28,44.35,-0.0726,-0.0726,-0.104,"[20, 30)",dvs
dvs,53245,7.16,18.17,43.82,-0.0778,-0.0778,-0.122,"[30, 50)",dvs
dvs,74700,7.81,19.75,43.95,-0.0814,-0.0814,-0.123,"[50, 100)",dvs
ma25_diff_pct,3747,13.64,27.46,44.84,-0.013,-0.013,-0.148,"[-15, -8)",ma25_diff_pct
ma25_diff_pct,6717,9.97,21.75,44.96,-0.0229,-0.0229,-0.12,"[-8, -5)",ma25_diff_pct
ma25_diff_pct,10557,7.26,17.37,44.01,-0.0575,-0.0575,-0.121,"[-5, -3)",ma25_diff_pct
ma25_diff_pct,22277,5.79,13.54,44.41,-0.0441,-0.0441,-0.082,"[-3, -1)",ma25_diff_pct
ma25_diff_pct,17709,4.55,11.23,45.01,-0.0323,-0.0323,0.0,"[-1, 0)",ma25_diff_pct
ma25_diff_pct,65471,5.05,13.43,43.76,-0.0749,-0.0749,-0.094,"[0, 2)",ma25_diff_pct
ma25_diff_pct,59060,5.42,13.91,45.99,-0.0296,-0.0296,-0.023,"[2, 5)",ma25_diff_pct
ma25_diff_pct,51608,9.83,25.0,43.83,-0.0998,-0.0998,-0.191,"[5, 15)",ma25_diff_pct
stage1_score,1266,6.95,13.03,44.47,-0.0035,-0.0035,0.0,"[0, 10)",stage1_score
stage1_score,47031,5.55,14.85,44.42,-0.069,-0.069,-0.091,"[10, 20)",stage1_score
stage1_score,76494,6.4,15.92,44.67,-0.0545,-0.0545,-0.09,"[20, 30)",stage1_score
stage1_score,25359,7.51,17.62,44.25,-0.0536,-0.0536,-0.092,"[30, 40)",stage1_score
stage1_score,28768,8.62,18.68,44.48,-0.0359,-0.0359,-0.095,"[40, 60)",stage1_score
stage1_score,16694,8.73,21.37,44.41,-0.0795,-0.0795,-0.118,"[60, 80)",stage1_score
stage1_score,32307,5.88,16.94,44.53,-0.0781,-0.0781,-0.103,"[80, 100)",stage1_score
stage1_score,19552,11.74,31.35,40.34,-0.2008,-0.2008,-0.348,"[100, 200)",stage1_score
